Model Size,Dataset Fraction,Epoch,Train Loss,Train Accuracy,Test Accuracy,Test Loss
1,0.3333333333333333,106,0.07578702247256686,93.905,92.55,0.23993130720220507
1,0.3333333333333333,107,0.07457744515245887,94.17,92.75,0.23587731400504708
1,0.3333333333333333,108,0.07503492162106143,93.95,92.77,0.23584654251113535
1,0.3333333333333333,109,0.07394502767521864,93.98,92.6,0.23679675145074724
1,0.3333333333333333,110,0.0697220508839674,94.005,92.61,0.2372813398204744
1,0.3333333333333333,111,0.071011534636947,94.1,92.78,0.2328162276931107
1,0.3333333333333333,112,0.06778441369533539,94.205,92.79,0.23246788930147885
1,0.3333333333333333,113,0.07212909102250056,94.21,92.78,0.23537945034913718
1,0.3333333333333333,114,0.0722942858649667,94.3,92.67,0.23355233378708362
1,0.3333333333333333,115,0.06647146934536612,94.4,92.85,0.23231905080378057
1,0.3333333333333333,116,0.06656403516887859,94.085,92.69,0.23149029405787588
1,0.3333333333333333,117,0.06795881233017916,94.21,93.05,0.22895512949675323
1,0.3333333333333333,118,0.06886918714661507,94.305,92.91,0.23321309573948384
1,0.3333333333333333,119,0.07109774260004614,94.335,93.05,0.22716978422366083
1,0.3333333333333333,120,0.06696700413895261,94.445,92.92,0.22928419705480338
1,0.3333333333333333,121,0.06892713880652834,94.53,93.09,0.22720649591647088
1,0.3333333333333333,122,0.06515031701819912,94.56,93.01,0.22689148449338972
1,0.3333333333333333,123,0.06610789097798099,94.37,93.05,0.22617719180881976
1,0.3333333333333333,124,0.06448915719416491,94.535,93.15,0.22637457451783122
1,0.3333333333333333,125,0.06568273005022365,94.51,92.91,0.22674149739556015
1,0.3333333333333333,126,0.06355083007721385,94.595,93.21,0.22429762377403675
1,0.3333333333333333,127,0.0633254023209499,94.645,93.15,0.22361314292065798
1,0.3333333333333333,128,0.06346278433587141,94.695,93.11,0.22261565069667996
1,0.3333333333333333,129,0.0602168774433956,94.82,93.2,0.22217089212499558
1,0.3333333333333333,130,0.06278598958709437,94.625,93.27,0.22201099009253084
1,0.3333333333333333,131,0.06395309622500353,94.675,93.22,0.2195853726286441
1,0.3333333333333333,132,0.06123757727776363,94.69,93.29,0.22255158524028956
1,0.3333333333333333,133,0.06363445598703281,94.57,93.19,0.22193396572954951
1,0.3333333333333333,134,0.062120052137572296,94.76,93.37,0.2190532075613737
1,0.3333333333333333,135,0.06579816948836016,94.84,93.39,0.21932614544406534
1,0.3333333333333333,136,0.05819967147081521,94.865,93.3,0.2187975428905338
1,0.3333333333333333,137,0.064076327285759,94.75,93.25,0.2218699786067009
1,0.3333333333333333,138,0.058693891118286524,94.955,93.25,0.22112695568241178
1,0.3333333333333333,139,0.06413247626108728,94.825,93.47,0.21900291818194093
1,0.3333333333333333,140,0.05989737149066986,94.995,93.33,0.21744907954707743
1,0.3333333333333333,141,0.06109214958491599,95.03,93.55,0.22001419950276613
1,0.3333333333333333,142,0.05907508313276206,95.045,93.47,0.21382160460576416
1,0.3333333333333333,143,0.06049544435397834,94.885,93.38,0.22155615642666818
1,0.3333333333333333,144,0.058049234686193954,94.98,93.63,0.2133874956984073
