Model Size,Epoch,Train Loss,Test Loss,Train Error,Test Error
64,1,1.90226971127493,1.4858080244064331,67.43,55.919999999999995
64,2,1.293697846667541,1.1650360596179963,47.348,42.400000000000006
64,3,1.0092865320117883,1.069792873263359,36.146,37.51
64,4,0.8386312560047335,0.8805574977397919,29.469999999999995,30.700000000000006
64,5,0.6913185366584212,0.7704045349359512,24.099999999999998,24.9
64,6,0.5991077602214521,0.700585106909275,20.528000000000002,23.799999999999997
64,7,0.5237151526886484,0.6312911826372146,17.984,21.309999999999995
64,8,0.4786177340066037,0.5497579815983772,16.317999999999998,18.830000000000002
64,9,0.4281089928982508,0.4757422572374344,14.493999999999996,16.379999999999995
64,10,0.39651653284916794,0.4677308306097984,13.673999999999998,15.749999999999996
64,11,0.3652555527513289,0.45212051421403887,12.395999999999995,15.380000000000004
64,12,0.33598395480829124,0.4921320506930351,11.592000000000002,15.920000000000002
64,13,0.3160108736408946,0.46827142149209977,10.750000000000004,15.639999999999999
64,14,0.2979126432743829,0.39767779037356377,10.204000000000002,12.590000000000002

64,1,1.598249914086595,1.340734965801239,59.636,48.74000000000001
64,2,1.218266826807236,1.0972699594497681,44.176,39.64
64,3,1.0370849808868097,1.1150593233108521,36.848000000000006,39.239999999999995
64,4,0.8861276610773436,1.0279392421245575,31.384,35.760000000000005
64,5,0.7709507492123818,0.8546246528625489,27.259999999999994,30.379999999999995
64,6,0.70009496062994,0.8067350196838379,24.612000000000002,27.859999999999996
64,7,0.6473387993720113,0.7681821274757386,22.743999999999996,25.580000000000002
64,8,0.5986737272873217,0.8014558720588684,20.779999999999998,26.859999999999996
64,9,0.5427353210291084,0.6749164563417435,19.179999999999996,22.4
64,10,0.504093414362596,0.653663780093193,17.464000000000002,21.919999999999995
64,11,0.4811698043985026,0.6156233090162277,16.779999999999994,20.999999999999996
64,12,0.44833879370470436,0.8067106330394744,15.832,25.380000000000003
64,13,0.4148320385387966,0.6219698733091354,14.471999999999996,20.16
64,14,0.39071274716026927,0.6364058661460876,13.788,20.18
64,15,0.3724508931746288,0.6802109831571579,12.936000000000003,21.719999999999995
64,16,0.34906645256037616,0.6240301835536957,12.407999999999998,19.799999999999997
64,17,0.3270061077664093,0.5645746421813965,11.604000000000003,18.279999999999998
64,18,0.3101870579530998,0.553394329547882,10.795999999999994,17.62
64,19,0.2900229099453712,0.6175545972585678,10.168,18.86
64,20,0.2749035676599157,0.589412608742714,9.855999999999998,18.100000000000005
64,21,0.26526778244546484,0.5484398031234741,9.111999999999998,16.74
64,22,0.23497596512339552,0.6301952272653579,8.052000000000003,18.700000000000006
64,23,0.22768167550770604,0.6389252012968063,7.984000000000002,18.64
64,24,0.22817755912487603,0.5806572133302689,7.984000000000002,16.82
64,25,0.20540556866599588,0.7146149218082428,7.235999999999998,19.399999999999995
64,26,0.20161477655020296,0.6167821913957596,7.147999999999999,17.12
64,27,0.18901238164731435,0.6574053657054901,6.6440000000000055,18.179999999999996
64,28,0.17911053600968146,0.620606854557991,6.211999999999995,17.659999999999997
64,29,0.17610747114356076,0.5779601961374283,6.211999999999995,16.259999999999998
64,30,0.1638854023221196,0.5744742721319198,5.832000000000004,15.959999999999997
64,31,0.15300159407209377,0.5853380298614502,5.427999999999999,15.859999999999996
